A00,Cholera
Q643,"Congenital malformation of urinary system, unspecified"
Q644,"Congenital dislocation of hip, unilateral"
Q645,"Congenital dislocation of hip, bilateral"
Q646,"Congenital dislocation of hip, unspecified"
Q647,"Congenital partial dislocation of hip, unilateral"
Q648,"Congenital partial dislocation of hip, bilateral"
Q649,"Congenital partial dislocation of hip, unspecified"
Q650,Congenital unstable hip
Q651,Other congenital deformities of hip
Q652,"Congenital deformity of hip, unspecified"
Q653,Congenital deformities of feet
Q654,Congenital metatarsus (primus) varus
Q655,Other congenital varus deformities of feet
Q656,Congenital talipes calcaneovalgus
Q658,Congenital pes planus
Q659,Other congenital valgus deformities of feet
Q66,Congenital pes cavus
Q662,Other congenital deformities of feet
Q663,"Congenital deformity of feet, unspecified"
Q664,"Congenital musculoskeletal deformities of head, face, spine and chest"
Q665,Other congenital musculoskeletal deformities
Q666,Polydactyly
Q667,Fused fingers
Q668,Webbed fingers
Q669,Fused toes
Q67,Webbed toes
Q68,"Polysyndactyly, unspecified"
Q69,"Syndactyly, unspecified"
Q700,Congenital complete absence of upper limb
Q701,Congenital absence of upper arm and forearm with hand present
Q702,Congenital absence of both forearm and hand
Q703,Congenital absence of hand and finger
Q704,Longitudinal reduction defect of radius
Q709,Longitudinal reduction defect of ulna
Q710,Lobster-claw hand
Q711,Congenital shortening of upper limb
Q712,Other reduction defects of upper limb
Q713,Unspecified reduction defect of upper limb
Q714,Congenital complete absence of lower limb
Q715,Congenital absence of thigh and lower leg with foot present
Q716,Congenital absence of both lower leg and foot
Q7181,Congenital absence of foot and toe(s)
Q7189,Longitudinal reduction defect of femur
Q719,Longitudinal reduction defect of tibia
Q720,Longitudinal reduction defect of fibula
Q721,Split foot
Q722,Congenital shortening of lower limb
Q723,Other reduction defects of lower limb
Q724,Unspecified reduction defect of lower limb
Q725,Reduction defects of unspecified limb
Q726,Other congenital malformations of limb(s)
Q727,Other congenital malformations of skull and face bones
Q7281,Congenital malformations of spine and bony thorax
Q7289,Congenital kyphosis
Q729,Congenital lordosis
Q73,"Other congenital malformations of spine, not associated with scoliosis"
Q74,Cervical rib
Q75,Other congenital malformations of ribs
Q76,Congenital malformation of sternum
Q7641,Other congenital malformations of bony thorax
Q7642,"Congenital malformation of bony thorax, unspecified"
Q7649,Osteochondrodysplasia with defects of growth of tubular bones and spine
Q765,Other osteochondrodysplasias
Q766,"Congenital malformations of musculoskeletal system, not elsewhere classified"
Q767,Other congenital malformations of abdominal wall
Q768,Ehlers-Danlos syndrome
Q769,Other congenital malformations of musculoskeletal system
Q77,"Congenital malformation of musculoskeletal system, unspecified"
Q78,Congenital ichthyosis
Q79,Epidermolysis bullosa
Q795,Other congenital malformations of skin
Q796,Congenital malformations of breast
Q798,Other congenital malformations of integument
Q799,Neurofibromatosis (nonmalignant)
Q80,Tuberous sclerosis
Q81,"Other phakomatoses, not elsewhere classified"
Q82,"Phakomatosis, unspecified"
Q83,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified"
Q84,Other specified congenital malformation syndromes affecting multiple systems
Q850,Marfan's syndrome
Q851,Marfan's syndrome with cardiovascular manifestations
Q858,Marfan's syndrome with ocular manifestations
Q859,Marfan's syndrome with skeletal manifestation
Q86,Other congenital malformation syndromes with other skeletal changes
Q87,"Other specified congenital malformation syndromes, not elsewhere classified"
Q874,Congenital absence and malformations of spleen
Q8741,Congenital malformations of adrenal gland
Q8742,Congenital malformations of other endocrine glands
Q8743,Situs inversus
Q875,Conjoined twins
Q878,"Multiple congenital malformations, not elsewhere classified"
Q890,Other specified congenital malformations
Q891,"Congenital malformation, unspecified"
Q892,Down syndrome
Q893,Trisomy 18 and Trisomy 13
Q894,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
Q897,Marker chromosomes
Q898,Triploidy and polyploidy
Q899,Other specified trisomies and partial trisomies of autosomes
Q90,"Trisomy and partial trisomy of autosomes, unspecified"
Q91,"Monosomies and deletions from the autosomes, not elsewhere classified"
Q92,Other deletions from the autosomes
Q926,"Deletion from autosomes, unspecified"
Q927,"Balanced rearrangements and structural markers, not elsewhere classified"
Q928,Turner's syndrome
Q929,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
Q93,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
Q938,"Other chromosome abnormalities, not elsewhere classified"
Q939,Abnormalities of heart beat
Q95,Cardiac murmurs and other cardiac sounds
Q96,"Abnormal blood-pressure reading, without diagnosis"
Q97,Hemorrhage from respiratory passages
Q98,Hemorrhage from other sites in respiratory passages
Q99,"Hemorrhage from respiratory passages, unspecified"
R00,Cough
R01,Dyspnea
R03,Stridor
R04,Wheezing
R048,Periodic breathing
R049,Hyperventilation
R05,Mouth breathing
R060,Hiccough
R061,Sneezing
R062,Other abnormalities of breathing
R063,Unspecified abnormalities of breathing
R064,Pain in throat and chest
R065,Other chest pain
R066,"Chest pain, unspecified"
R067,Asphyxia and hypoxemia
R068,Pleurisy
R069,Respiratory arrest
R07,Abnormal sputum
R078,Other specified symptoms and signs involving the circulatory and respiratory systems
R079,Abdominal and pelvic pain
R090,Pain localized to upper abdomen
R091,Pelvic and perineal pain
R092,Pain localized to other parts of lower abdomen
R093,Abdominal tenderness
R098,Rebound abdominal tenderness
R10,Colic
R101,Generalized abdominal pain
R102,Unspecified abdominal pain
R103,Nausea and vomiting
R1081,Vomiting
R1082,"Nausea with vomiting, unspecified"
R1083,Heartburn
R1084,Aphagia and dysphagia
R109,Dysphagia
R11,Flatulence and related conditions
R111,Fecal incontinence
R112,"Hepatomegaly and splenomegaly, not elsewhere classified"
R12,Unspecified jaundice
R13,Ascites
R131,"Intra-abdominal and pelvic swelling, mass and lump"
R14,Abnormal bowel sounds
R15,Visible peristalsis
R16,Abdominal rigidity
R17,Change in bowel habit
R18,Other fecal abnormalities
R190,Halitosis
R191,"Diarrhea, unspecified"
R192,Other specified symptoms and signs involving the digestive system and abdomen
R193,Disturbances of skin sensation
R194,Rash and other nonspecific skin eruption
R195,"Localized swelling, mass and lump of skin and subcutaneous tissue"
R196,"Localized swelling, mass and lump, upper limb"
R197,"Localized swelling, mass and lump, lower limb"
R198,"Localized swelling, mass and lump, unspecified"
R20,Other skin changes
R21,Abnormal involuntary movements
R22,Abnormalities of gait and mobility
R223,Other abnormalities of gait and mobility
R224,Unspecified abnormalities of gait and mobility
R229,Other lack of coordination
R23,Other symptoms and signs involving the nervous and musculoskeletal systems
R25,NIHSS score 0-9
R26,NIHSS score 10-19
R268,NIHSS score 20-29
R269,NIHSS score 30-39
R27,NIHSS score 40-42
R29,Other symptoms and signs involving the nervous system
R2970,Other symptoms and signs involving the musculoskeletal system
R2971,Unspecified symptoms and signs involving the nervous and musculoskeletal systems
R2972,Pain associated with micturition
R2973,Hematuria
R2974,Other microscopic hematuria
R2981,"Hematuria, unspecified"
R2989,Unspecified urinary incontinence
R299,Retention of urine
R30,Anuria and oliguria
R31,Polyuria
R312,Urethral discharge
R319,"Sexual dysfunction, unspecified"
R32,Other and unspecified symptoms and signs involving the genitourinary system
R33,Other difficulties with micturition
R34,Extrarenal uremia
R35,Other symptoms and signs involving the genitourinary system
R36,Unspecified symptoms and signs involving the genitourinary system
R37,"Somnolence, stupor and coma"
R39,Coma
R391,"Coma scale, eyes open, never"
R3919,"Coma scale, eyes open, to pain"
R392,"Coma scale, eyes open, to sound"
R398,"Coma scale, eyes open, spontaneous"
R399,"Coma scale, best verbal response, none"
R40,"Coma scale, best verbal response, incomprehensible words"
R402,"Coma scale, best verbal response, inappropriate words"
R40211,"Coma scale, best verbal response, confused conversation"
R40212,"Coma scale, best verbal response, oriented"
R40213,"Coma scale, best motor response, none"
R40214,"Coma scale, best motor response, extension"
R40221,"Coma scale, best motor response, abnormal"
R40222,"Coma scale, best motor response, flexion withdrawal"
R40223,"Coma scale, best motor response, localizes pain"
R40224,"Coma scale, best motor response, obeys commands"
R40225,Glasgow coma scale score 13-15
R40231,Glasgow coma scale score 9-12
R40232,Glasgow coma scale score 3-8
R40233,"Other coma, without documented Glasgow coma scale score, or with partial score reported"
R40234,Persistent vegetative state
R40235,Transient alteration of awareness
R40236,Other symptoms and signs involving cognitive functions and awareness
R40241,Other specified cognitive deficit
R40242,Unspecified symptoms and signs involving cognitive functions and awareness
R40243,Dizziness and giddiness
R40244,Disturbances of smell and taste
R403,Other symptoms and signs involving general sensations and perceptions
R404,Symptoms and signs involving emotional state
R41,Other symptoms and signs involving emotional state
R418,Homicidal and suicidal ideations
R4184,Emotional lability
R4189,Impulsiveness
R419,Symptoms and signs involving appearance and behavior
R42,Other symptoms and signs involving appearance and behavior
R43,Dysphasia and aphasia
R44,Dysarthria and anarthria
R45,Other speech disturbances
R458,Unspecified speech disturbances
R4585,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
R4586,Voice and resonance disorders
R4587,Hypernasality and hyponasality
R4589,Other voice and resonance disorders
R46,Unspecified voice and resonance disorder
R468,Fever of other and unknown origin
R470,Other specified fever
R471,"Fever, unspecified"
R478,Headache
R479,"Pain, unspecified"
R48,Malaise and fatigue
R49,Other malaise and fatigue
R492,Age-related physical debility
R498,Syncope and collapse
R499,Febrile convulsions
R50,Post traumatic seizures
R508,Unspecified convulsions
R509,"Shock, not elsewhere classified"
R51,"Hemorrhage, not elsewhere classified"
R52,Enlarged lymph nodes
R53,"Edema, not elsewhere classified"
R538,Generalized hyperhidrosis
R54,Lack of expected normal physiological development in childhood and adults
R55,Other and unspecified lack of expected normal physiological development in childhood
R560,Adult failure to thrive
R561,Symptoms and signs concerning food and fluid intake
R569,Cachexia
R57,Systemic inflammatory response syndrome (SIRS) of non-infectious origin
R58,Severe sepsis
R59,Other general symptoms and signs
R60,Nonspecific symptoms peculiar to infancy
R61,"Dry mouth, unspecified"
R62,Clubbing of fingers
R625,"Illness, unspecified"
R627,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity
R63,Abnormality of red blood cells
R64,Abnormal glucose
R651,"Hyperglycemia, unspecified"
R652,Abnormal serum enzyme levels
R68,Inconclusive laboratory evidence of human immunodeficiency virus [HIV]
R681,Other abnormal immunological findings in serum
R682,Nonspecific reaction to test for tuberculosis
R683,Other specified abnormal immunological findings in serum
R688,"Abnormal immunological finding in serum, unspecified"
R69,Other abnormalities of plasma proteins
R70,"Findings of drugs and other substances, not normally found in blood"
R71,Finding of abnormal level of heavy metals in blood
R730,"Finding of other specified substances, not normally found in blood"
R739,"Finding of unspecified substance, not normally found in blood"
R74,Other abnormal findings of blood chemistry
R75,Other specified abnormal findings of blood chemistry
R76,"Abnormal finding of blood chemistry, unspecified"
R761,Proteinuria
R768,Glycosuria
R769,Other and unspecified abnormal findings in urine
R77,Abnormal findings on microbiological examination of urine
R78,Abnormal findings on cytological and histological examination of urine
R787,Abnormal findings in cerebrospinal fluid
R788,Abnormal findings in specimens from respiratory organs and thorax
R789,Abnormal findings in specimens from digestive organs and abdominal cavity
R79,Abnormal cytologic smear of anus
R798,Abnormal cytological findings in specimens from other digestive organs and abdominal cavity
R799,Abnormal histological findings in specimens from digestive organs and abdominal cavity
R80,Other abnormal findings in specimens from digestive organs and abdominal cavity
R81,Unspecified abnormal finding in specimens from digestive organs and abdominal cavity
R82,Abnormal findings in specimens from male genital organs
R827,Abnormal findings in specimens from female genital organs
R828,Abnormal cytological findings in specimens from cervix uteri
R829,Abnormal cytological findings in specimens from vagina
R83,Abnormal cytological findings in specimens from other female genital organs
R84,Abnormal histological findings in specimens from female genital organs
R85,High risk human papillomavirus (HPV) DNA test positive from female genital organs
R8561,Low risk human papillomavirus (HPV) DNA test positive from female genital organs
R8569,Other abnormal findings in specimens from female genital organs
R857,Unspecified abnormal finding in specimens from female genital organs
R858,Abnormal findings in other body fluids and substances
R859,"Abnormal findings in specimens from other organs, systems and tissues"
R86,Abnormal findings on diagnostic imaging of central nervous system
R87,Other abnormal findings on diagnostic imaging of central nervous system
R8761,Abnormal findings on diagnostic imaging of lung
R8762,Abnormal and inconclusive findings on diagnostic imaging of breast
R8769,Abnormal findings on diagnostic imaging of other body structures
R877,Abnormal findings on diagnostic imaging of urinary organs
R8781,Abnormal radiologic findings on diagnostic imaging of kidney
R8782,Abnormal radiologic findings on diagnostic imaging of other urinary organs
R8789,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
R879,Abnormal findings on diagnostic imaging of limbs
R88,Abnormal findings on diagnostic imaging of other parts of musculoskeletal system
R89,Abnormal findings on diagnostic imaging of other specified body structures
R90,Diagnostic imaging inconclusive due to excess body fat of patient
R908,Abnormal results of function studies of central nervous system
R91,Abnormal results of function studies of eye
R92,Abnormal results of function studies of ear and other special senses
R93,Abnormal results of function studies of peripheral nervous system
R934,Abnormal results of pulmonary function studies
R9342,Abnormal results of cardiovascular function studies
R9349,Abnormal results of kidney function studies
R935,Abnormal results of liver function studies
R936,Abnormal results of thyroid function studies
R937,Abnormal results of other endocrine function studies
R938,Abnormal results of function studies of other organs and systems
R939,Abnormal tumor markers
R940,Elevated prostate specific antigen [PSA]
R9411,Other abnormal tumor markers
R9412,Ill-defined and unknown cause of mortality
R9413,Unspecified superficial injury of scalp
R942,Abrasion of scalp
R943,Blister (nonthermal) of scalp
R944,Contusion of scalp
R945,External constriction of part of scalp
R946,Superficial foreign body of scalp
R947,Insect bite (nonvenomous) of scalp
R948,Other superficial bite of scalp
R97,Contusion of unspecified eyelid and periocular area
R972,Contusion of right eyelid and periocular area
R978,Contusion of left eyelid and periocular area
R99,Unspecified superficial injury of right eyelid and periocular area
S0000,Unspecified superficial injury of left eyelid and periocular area
S0001,Unspecified superficial injury of unspecified eyelid and periocular area
S0002,Abrasion of right eyelid and periocular area
S0003,Abrasion of left eyelid and periocular area
S0004,Abrasion of unspecified eyelid and periocular area
S0005,Blister (nonthermal) of right eyelid and periocular area
S0006,Blister (nonthermal) of left eyelid and periocular area
S0007,Blister (nonthermal) of unspecified eyelid and periocular area
S0010,External constriction of right eyelid and periocular area
S0011,External constriction of left eyelid and periocular area
S0012,External constriction of unspecified eyelid and periocular area
S00201,Superficial foreign body of right eyelid and periocular area
S00202,Superficial foreign body of left eyelid and periocular area
S00209,Superficial foreign body of unspecified eyelid and periocular area
S00211,Insect bite (nonvenomous) of right eyelid and periocular area
S00212,Insect bite (nonvenomous) of left eyelid and periocular area
S00219,Insect bite (nonvenomous) of unspecified eyelid and periocular area
S00221,Other superficial bite of right eyelid and periocular area
S00222,Other superficial bite of left eyelid and periocular area
S00229,Other superficial bite of unspecified eyelid and periocular area
S00241,Unspecified superficial injury of nose
S00242,Abrasion of nose
S00249,Blister (nonthermal) of nose
S00251,Contusion of nose
S00252,External constriction of nose
S00259,Superficial foreign body of nose
S00261,Insect bite (nonvenomous) of nose
S00262,Other superficial bite of nose
S00269,Unspecified superficial injury of right ear
S00271,Unspecified superficial injury of left ear
S00272,Unspecified superficial injury of unspecified ear
S00279,Abrasion of right ear
S0030,Abrasion of left ear
S0031,Abrasion of unspecified ear
S0032,Blister (nonthermal) of right ear
S0033,Blister (nonthermal) of left ear
S0034,Blister (nonthermal) of unspecified ear
S0035,Contusion of right ear
S0036,Contusion of left ear
S0037,Contusion of unspecified ear
S00401,External constriction of right ear
S00402,External constriction of left ear
S00409,External constriction of unspecified ear
S00411,Superficial foreign body of right ear
S00412,Superficial foreign body of left ear
S00419,Superficial foreign body of unspecified ear
S00421,Insect bite (nonvenomous) of right ear
S00422,Insect bite (nonvenomous) of left ear
S00429,Insect bite (nonvenomous) of unspecified ear
S00431,Other superficial bite of right ear
S00432,Other superficial bite of left ear
S00439,Other superficial bite of unspecified ear
S00441,Unspecified superficial injury of lip
S00442,Unspecified superficial injury of oral cavity
S00449,Abrasion of lip
S00451,Abrasion of oral cavity
S00452,Blister (nonthermal) of lip
S00459,Blister (nonthermal) of oral cavity
S00461,Contusion of lip
S00462,Contusion of oral cavity
S00469,External constriction of lip
S00471,External constriction of oral cavity
S00472,Superficial foreign body of lip
S00479,Superficial foreign body of oral cavity
S00501,Insect bite (nonvenomous) of lip
S00502,Insect bite (nonvenomous) of oral cavity
S00511,Other superficial bite of lip
S00512,Other superficial bite of oral cavity
S00521,Unspecified superficial injury of other part of head
S00522,Abrasion of other part of head
S00531,Blister (nonthermal) of other part of head
S00532,Contusion of other part of head
S00541,External constriction of other part of head
S00542,Superficial foreign body of other part of head
S00551,Insect bite (nonvenomous) of other part of head
S00552,Other superficial bite of other part of head
S00561,Unspecified superficial injury of unspecified part of head
S00562,Abrasion of unspecified part of head
S00571,Blister (nonthermal) of unspecified part of head
S00572,Contusion of unspecified part of head
S0080,External constriction of unspecified part of head
S0081,Superficial foreign body of unspecified part of head
S0082,Insect bite (nonvenomous) of unspecified part of head
S0083,Other superficial bite of unspecified part of head
S0084,Unspecified open wound of scalp
S0085,Laceration without foreign body of scalp
S0086,Laceration with foreign body of scalp
S0087,Puncture wound without foreign body of scalp
S0090,Puncture wound with foreign body of scalp
S0091,Open bite of scalp
S0092,Unspecified open wound of right eyelid and periocular area
S0093,Unspecified open wound of left eyelid and periocular area
S0094,Unspecified open wound of unspecified eyelid and periocular area
S0095,Laceration without foreign body of right eyelid and periocular area
S0096,Laceration without foreign body of left eyelid and periocular area
S0097,Laceration without foreign body of unspecified eyelid and periocular area
S0100,Laceration with foreign body of right eyelid and periocular area
S0101,Laceration with foreign body of left eyelid and periocular area
S0102,Laceration with foreign body of unspecified eyelid and periocular area
S0103,Puncture wound without foreign body of right eyelid and periocular area
S0104,Puncture wound without foreign body of left eyelid and periocular area
S0105,Puncture wound without foreign body of unspecified eyelid and periocular area
S01101,Puncture wound with foreign body of right eyelid and periocular area
S01102,Puncture wound with foreign body of left eyelid and periocular area
S01109,Puncture wound with foreign body of unspecified eyelid and periocular area
S01111,Open bite of right eyelid and periocular area
S01112,Open bite of left eyelid and periocular area
S01119,Open bite of unspecified eyelid and periocular area
S01121,Unspecified open wound of nose
S01122,Laceration without foreign body of nose
S01129,Laceration with foreign body of nose
S01131,Puncture wound without foreign body of nose
S01132,Puncture wound with foreign body of nose
S01139,Open bite of nose
S01141,Unspecified open wound of right ear
S01142,Unspecified open wound of left ear
S01149,Unspecified open wound of unspecified ear
S01151,Laceration without foreign body of right ear
S01152,Laceration without foreign body of left ear
S01159,Laceration without foreign body of unspecified ear
S0120,Laceration with foreign body of right ear
S0121,Laceration with foreign body of left ear
S0122,Laceration with foreign body of unspecified ear
S0123,Puncture wound without foreign body of right ear
S0124,Puncture wound without foreign body of left ear
S0125,Puncture wound without foreign body of unspecified ear
S01301,Puncture wound with foreign body of right ear
S01302,Puncture wound with foreign body of left ear
S01309,Puncture wound with foreign body of unspecified ear
S01311,Open bite of right ear
S01312,Open bite of left ear
S01319,Open bite of unspecified ear
S01321,Unspecified open wound of right cheek and temporomandibular area
S01322,Unspecified open wound of left cheek and temporomandibular area
S01329,Unspecified open wound of unspecified cheek and temporomandibular area
S01331,Laceration without foreign body of right cheek and temporomandibular area
S01332,Laceration without foreign body of left cheek and temporomandibular area
S01339,Laceration without foreign body of unspecified cheek and temporomandibular area
S01341,Laceration with foreign body of right cheek and temporomandibular area
S01342,Laceration with foreign body of left cheek and temporomandibular area
S01349,Laceration with foreign body of unspecified cheek and temporomandibular area
S01351,Puncture wound without foreign body of right cheek and temporomandibular area
S01352,Puncture wound without foreign body of left cheek and temporomandibular area
S01359,Puncture wound without foreign body of unspecified cheek and temporomandibular area
S01401,Puncture wound with foreign body of right cheek and temporomandibular area
S01402,Puncture wound with foreign body of left cheek and temporomandibular area
S01409,Puncture wound with foreign body of unspecified cheek and temporomandibular area
S01411,Open bite of right cheek and temporomandibular area
S01412,Open bite of left cheek and temporomandibular area
S01419,Open bite of unspecified cheek and temporomandibular area
S01421,Unspecified open wound of lip
S01422,Unspecified open wound of oral cavity
S01429,Laceration without foreign body of lip
S01431,Laceration without foreign body of oral cavity
S01432,Laceration with foreign body of lip
S01439,Laceration with foreign body of oral cavity
S01441,Puncture wound without foreign body of lip
S01442,Puncture wound without foreign body of oral cavity
S01449,Puncture wound with foreign body of lip
S01451,Puncture wound with foreign body of oral cavity
S01452,Open bite of lip
S01459,Open bite of oral cavity
S01501,Unspecified open wound of other part of head
S01502,Laceration without foreign body of other part of head
S01511,Laceration with foreign body of other part of head
S01512,Puncture wound without foreign body of other part of head
S01521,Puncture wound with foreign body of other part of head
S01522,Open bite of other part of head
S01531,Unspecified open wound of unspecified part of head
S01532,Laceration without foreign body of unspecified part of head
S01541,Laceration with foreign body of unspecified part of head
S01542,Puncture wound without foreign body of unspecified part of head
S01551,Puncture wound with foreign body of unspecified part of head
S01552,Open bite of unspecified part of head
S0180,Fracture of vault of skull
S0181,"Fracture of base of skull, right side"
S0182,"Fracture of base of skull, left side"
S0183,"Fracture of base of skull, unspecified side"
S0184,"Type I occipital condyle fracture, unspecified side"
S0185,"Type II occipital condyle fracture, unspecified side"
S0190,"Type III occipital condyle fracture, unspecified side"
S0191,Unspecified occipital condyle fracture
S0192,"Other fracture of occiput, unspecified side"
S0193,Unspecified fracture of occiput
S0194,"Type I occipital condyle fracture, right side"
S0195,"Type I occipital condyle fracture, left side"
S020,"Type II occipital condyle fracture, right side"
S02101,"Type II occipital condyle fracture, left side"
S02102,"Type III occipital condyle fracture, right side"
S02109,"Type III occipital condyle fracture, left side"
S02110,"Other fracture of occiput, right side"
S02111,"Other fracture of occiput, left side"
S02112,Other fracture of base of skull
S02113,Fracture of nasal bones
S02118,"Fracture of orbital floor, unspecified side"
S02119,"Fracture of orbital floor, right side"
S0211A,"Fracture of orbital floor, left side"
S0211B,"Malar fracture, unspecified side"
S0211C,"Maxillary fracture, unspecified side"
S0211D,"Zygomatic fracture, unspecified side"
S0211E,"Malar fracture, right side"
S0211F,"Malar fracture, left side"
S0211G,"Maxillary fracture, right side"
S0211H,"Maxillary fracture, left side"
S0219,"Zygomatic fracture, right side"
S022,"Zygomatic fracture, left side"
S0230,LeFort I fracture
S0231,LeFort II fracture
S0232,LeFort III fracture
S02400,Fracture of alveolus of maxilla
S02401,Fracture of tooth (traumatic)
S02402,"Fracture of unspecified part of body of mandible, unspecified side"
S0240A,Fracture of unspecified part of body of right mandible
S0240B,Fracture of unspecified part of body of left mandible
S0240C,"Fracture of mandible, unspecified"
S0240D,"Fracture of condylar process of mandible, unspecified side"
S0240E,Fracture of condylar process of right mandible
S0240F,Fracture of condylar process of left mandible
S02411,"Fracture of subcondylar process of mandible, unspecified side"
S02412,Fracture of subcondylar process of right mandible
S02413,Fracture of subcondylar process of left mandible
S0242,"Fracture of coronoid process of mandible, unspecified side"
S025,Fracture of coronoid process of right mandible
S02600,Fracture of coronoid process of left mandible
S02601,"Fracture of ramus of mandible, unspecified side"
S02602,Fracture of ramus of right mandible
S02609,Fracture of ramus of left mandible
S02610,"Fracture of angle of mandible, unspecified side"
S02611,Fracture of angle of right mandible
S02612,Fracture of angle of left mandible
S02620,Fracture of symphysis of mandible
S02621,"Fracture of alveolus of mandible, unspecified side"
S02622,Fracture of alveolus of right mandible
S02630,Fracture of alveolus of left mandible
S02631,Fracture of mandible of other specified site
S02632,"Fracture of other specified skull and facial bones, unspecified side"
S02640,"Fracture of other specified skull and facial bones, right side"
S02641,"Fracture of other specified skull and facial bones, left side"
S02642,Unspecified fracture of skull
S02650,Unspecified fracture of facial bones
S02651,"Dislocation of jaw, unspecified side"
S02652,"Dislocation of jaw, right side"
S0266,"Dislocation of jaw, left side"
S02670,"Dislocation of jaw, bilateral"
S02671,Dislocation of septal cartilage of nose
S02672,Dislocation of tooth
S0269,"Sprain of jaw, unspecified side"
S0280,"Sprain of jaw, right side"
S0281,"Sprain of jaw, left side"
S0282,"Sprain of jaw, bilateral"
S0291,Sprain of joints and ligaments of other parts of head
S0292,Sprain of joints and ligaments of unspecified parts of head
S0300,"Injury of optic nerve, right eye"
S0301,"Injury of optic nerve, left eye"
S0302,"Injury of optic nerve, unspecified eye"
S0303,Injury of optic chiasm
S031,"Injury of optic tract and pathways, right side"
S032,"Injury of optic tract and pathways, left side"
S0340,"Injury of optic tract and pathways, unspecified side"
S0341,"Injury of visual cortex, right side"
S0342,"Injury of visual cortex, left side"
S0343,"Injury of visual cortex, unspecified side"
S038,"Injury of oculomotor nerve, unspecified side"
S039,"Injury of oculomotor nerve, right side"
S04011,"Injury of oculomotor nerve, left side"
S04012,"Injury of trochlear nerve, unspecified side"
S04019,"Injury of trochlear nerve, right side"
S0402,"Injury of trochlear nerve, left side"
S04031,"Injury of trigeminal nerve, unspecified side"
S04032,"Injury of trigeminal nerve, right side"
S04039,"Injury of trigeminal nerve, left side"
S04041,"Injury of abducent nerve, unspecified side"
S04042,"Injury of abducent nerve, right side"
S04049,"Injury of abducent nerve, left side"
S0410,"Injury of facial nerve, unspecified side"
S0411,"Injury of facial nerve, right side"
S0412,"Injury of facial nerve, left side"
S0420,"Injury of acoustic nerve, unspecified side"
S0421,"Injury of acoustic nerve, right side"
S0422,"Injury of acoustic nerve, left side"
S0430,"Injury of accessory nerve, unspecified side"
S0431,"Injury of accessory nerve, right side"
S0432,"Injury of accessory nerve, left side"
S0440,"Injury of olfactory [1st ] nerve, right side"
S0441,"Injury of olfactory [1st ] nerve, left side"
S0442,"Injury of olfactory [1st ] nerve, unspecified side"
S0450,"Injury of other cranial nerves, right side"
S0451,"Injury of other cranial nerves, left side"
S0452,"Injury of other cranial nerves, unspecified side"
S0460,Injury of unspecified cranial nerve
S0461,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye"
S0462,"Injury of conjunctiva and corneal abrasion without foreign body, right eye"
S0470,"Injury of conjunctiva and corneal abrasion without foreign body, left eye"
S0471,"Contusion of eyeball and orbital tissues, unspecified eye"
S0472,"Contusion of eyeball and orbital tissues, right eye"
S04811,"Contusion of eyeball and orbital tissues, left eye"
S04812,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye"
S04819,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye"
S04891,"Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye"
S04892,"Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye"
S04899,"Ocular laceration without prolapse or loss of intraocular tissue, right eye"
S049,"Ocular laceration without prolapse or loss of intraocular tissue, left eye"
S0500,"Penetrating wound of orbit with or without foreign body, unspecified eye"
S0501,"Penetrating wound of orbit with or without foreign body, right eye"
S0502,"Penetrating wound of orbit with or without foreign body, left eye"
S0510,Penetrating wound with foreign body of unspecified eyeball
S0511,Penetrating wound with foreign body of right eyeball
S0512,Penetrating wound with foreign body of left eyeball
S0520,Penetrating wound without foreign body of unspecified eyeball
S0521,Penetrating wound without foreign body of right eyeball
S0522,Penetrating wound without foreign body of left eyeball
S0530,Avulsion of unspecified eye
S0531,Avulsion of right eye
S0532,Avulsion of left eye
S0540,Other injuries of right eye and orbit
S0541,Other injuries of left eye and orbit
S0542,Other injuries of unspecified eye and orbit
S0550,Unspecified injury of unspecified eye and orbit
S0551,Unspecified injury of right eye and orbit
S0552,Unspecified injury of left eye and orbit
S0560,Concussion without loss of consciousness
S0561,Concussion with loss of consciousness of 30 minutes or less
S0562,Concussion with loss of consciousness of unspecified duration
S0570,Traumatic cerebral edema without loss of consciousness
S0571,Traumatic cerebral edema with loss of consciousness of 30 minutes or less
S0572,Traumatic cerebral edema with loss of consciousness of 31 minutes to 59 minutes
S058X1,Traumatic cerebral edema with loss of consciousness of 1 hour to 5 hours 59 minutes
S058X2,Traumatic cerebral edema with loss of consciousness of 6 hours to 24 hours
S058X9,Traumatic cerebral edema with loss of consciousness greater than 24 hours with return to pre-existing conscious level
S0590,Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
